# code;product-code;quantity;ia;il;side;_d;
C00000001;PROD000023;24;1;1;172;Right;1;
C00000002;PROD000011;44;2;1;45;Right;1;
C00000003;PROD000007;16;1;1;69;Left;1;
C00000004;PROD000046;22;0;1;268;Right;1;
C00000005;PROD000021;6;2;1;30;Left;1;
C00000006;PROD000047;1;2;1;259;Right;1;
C00000007;PROD000020;7;1;1;40;Right;1;
C00000008;PROD000045;4;2;1;41;Left;1;
C00000009;PROD000025;7;0;1;3;Left;1;
C00000010;PROD000032;19;2;1;199;Left;1;
C00000011;PROD000022;39;2;1;242;Right;1;
C00000012;PROD000023;31;4;1;185;Right;1;
C00000013;PROD000024;14;3;1;287;Left;1;
C00000014;PROD000024;29;4;1;127;Left;1;
C00000015;PROD000044;32;1;1;227;Right;1;
C00000016;PROD000039;22;2;1;222;Right;1;
C00000017;PROD000025;3;2;1;137;Left;1;
C00000018;PROD000007;32;0;1;81;Right;1;
C00000019;PROD000036;56;3;1;20;Left;1;
C00000020;PROD000021;5;2;1;96;Right;1;
C00000021;PROD000020;3;1;1;107;Left;1;
C00000022;PROD000036;36;0;1;29;Right;1;
C00000023;;;1;1;195;Right;1;
C00000024;PROD000047;4;3;1;65;Left;1;
C00000025;PROD000005;1;4;1;42;Left;1;
C00000026;;;1;1;0;Right;1;
C00000027;PROD000008;22;2;1;207;Right;1;
C00000028;PROD000039;31;1;1;280;Right;1;
C00000029;PROD000034;6;4;1;136;Left;1;
C00000030;;;4;1;191;Left;1;
C00000031;;;1;1;183;Right;1;
C00000032;PROD000022;48;3;1;25;Left;1;
C00000033;PROD000024;3;4;1;185;Left;1;
C00000034;PROD000014;7;2;1;43;Left;1;
C00000035;;;4;1;63;Left;1;
C00000036;PROD000012;6;1;1;2;Right;1;
C00000037;PROD000040;55;1;1;184;Left;1;
C00000038;PROD000030;72;2;1;8;Right;1;
C00000039;;;2;1;98;Left;1;
C00000040;PROD000050;5;2;1;102;Right;1;
C00000041;PROD000027;39;3;1;128;Right;1;
C00000042;PROD000011;66;4;1;134;Left;1;
C00000043;PROD000032;9;2;1;194;Right;1;
C00000044;PROD000021;8;4;1;196;Left;1;
C00000045;PROD000034;30;4;1;16;Right;1;
C00000046;;;0;1;29;Right;0;
C00000047;PROD000042;39;2;1;80;Right;1;
C00000048;;;0;1;204;Right;1;
C00000049;PROD000022;8;2;1;253;Left;1;
C00000050;PROD000008;36;3;1;209;Right;1;
C00000051;PROD000042;38;1;1;205;Left;1;
C00000052;PROD000017;7;0;1;270;Right;1;
C00000053;PROD000009;52;2;1;50;Right;1;
C00000054;PROD000016;5;4;1;290;Left;1;
C00000055;PROD000005;24;3;1;12;Right;1;
C00000056;PROD000037;9;0;1;121;Left;1;
C00000057;PROD000014;7;3;1;34;Left;1;
C00000058;PROD000045;34;4;1;294;Right;1;
C00000059;PROD000007;21;0;1;67;Right;1;
C00000060;PROD000030;36;1;1;9;Left;1;
C00000061;PROD000004;2;4;1;74;Right;1;
C00000062;PROD000043;7;4;1;53;Left;1;
C00000063;PROD000039;17;2;1;28;Right;1;
C00000064;;;4;1;137;Left;1;
C00000065;PROD000041;4;0;1;57;Left;1;
C00000066;PROD000011;59;2;1;21;Left;1;
C00000067;PROD000010;36;1;1;130;Left;1;
C00000068;PROD000045;2;4;1;103;Right;1;
C00000069;PROD000030;91;1;1;22;Left;1;
C00000070;PROD000038;38;0;1;135;Right;1;
C00000071;PROD000046;17;2;1;173;Right;1;
C00000072;;;4;1;277;Right;1;
C00000073;PROD000012;5;2;1;189;Right;1;
C00000074;PROD000029;27;1;1;14;Left;1;
C00000075;PROD000006;31;0;1;3;Right;1;
C00000076;;;1;1;9;Right;1;
C00000077;;;4;1;131;Right;1;
C00000078;;;2;1;145;Left;1;
C00000079;PROD000045;4;0;1;124;Left;1;
C00000080;PROD000003;48;0;1;238;Right;1;
C00000081;PROD000021;6;4;1;106;Right;1;
C00000082;PROD000045;30;2;1;11;Left;1;
C00000083;;;1;1;207;Right;1;
C00000084;;;1;1;84;Left;1;
C00000085;PROD000009;38;2;1;43;Right;1;
C00000086;PROD000015;4;3;1;21;Right;1;
C00000087;PROD000009;55;4;1;10;Left;1;
C00000088;PROD000010;29;2;1;272;Right;1;
C00000089;PROD000033;78;4;1;176;Left;1;
C00000090;PROD000002;25;1;1;49;Left;1;
C00000091;PROD000001;16;2;1;34;Left;1;
C00000092;PROD000032;42;0;1;163;Left;1;
C00000093;;;3;1;187;Right;1;
C00000094;PROD000039;6;0;1;124;Right;1;
C00000095;PROD000008;9;3;1;191;Left;1;
C00000096;PROD000006;12;2;1;0;Right;1;
C00000097;PROD000004;30;0;1;56;Right;1;
C00000098;PROD000027;17;0;1;182;Left;1;
C00000099;PROD000036;70;3;1;70;Left;1;
C00000100;PROD000038;45;3;1;165;Right;1;
C00000101;;;1;1;163;Left;1;
C00000102;;;2;1;97;Right;1;
C00000103;;;2;1;294;Right;1;
C00000104;;;2;1;28;Right;0;
C00000105;PROD000028;19;0;1;168;Left;1;
C00000106;PROD000002;43;3;1;184;Left;1;
C00000107;PROD000019;4;1;1;11;Left;1;
C00000108;;;1;1;170;Right;1;
C00000109;PROD000026;42;0;1;27;Right;1;
C00000110;PROD000014;1;3;1;121;Left;1;
C00000111;PROD000047;44;4;1;82;Right;1;
C00000112;PROD000019;1;0;1;248;Right;1;
C00000113;PROD000015;5;2;1;40;Left;1;
C00000114;PROD000033;11;4;1;264;Right;1;
C00000115;PROD000019;24;3;1;57;Right;1;
C00000116;PROD000015;4;2;1;156;Left;1;
C00000117;PROD000028;71;1;1;9;Right;0;
C00000118;PROD000030;5;4;1;112;Left;1;
C00000119;PROD000001;56;3;1;27;Left;1;
C00000120;PROD000021;9;3;1;44;Left;1;
C00000121;PROD000015;17;0;1;225;Right;1;
C00000122;;;4;1;23;Left;1;
C00000123;;;2;1;184;Left;1;
C00000124;PROD000046;21;3;1;105;Right;1;
C00000125;PROD000012;4;4;1;185;Left;0;
C00000126;;;3;1;69;Left;1;
C00000127;PROD000029;26;0;1;118;Right;1;
C00000128;PROD000050;52;3;1;33;Right;1;
C00000129;PROD000049;70;2;1;233;Left;1;
C00000130;;;1;1;55;Left;1;
C00000131;PROD000038;61;2;1;92;Left;1;
C00000132;;;2;1;13;Right;1;
C00000133;PROD000046;21;1;1;200;Right;1;
C00000134;PROD000012;17;4;1;279;Left;1;
C00000135;;;0;1;134;Right;1;
C00000136;PROD000035;41;2;1;42;Right;1;
C00000137;PROD000013;62;0;1;79;Right;1;
C00000138;PROD000039;37;3;1;153;Left;1;
C00000139;;;4;1;106;Left;1;
C00000140;PROD000034;3;3;1;188;Left;1;
C00000141;;;2;1;72;Right;1;
C00000142;PROD000006;22;0;1;98;Left;1;
C00000143;;;0;1;90;Left;1;
C00000144;PROD000022;85;1;1;186;Right;1;
C00000145;PROD000025;16;2;1;299;Right;1;
C00000146;PROD000006;21;0;1;285;Right;1;
C00000147;PROD000010;18;3;1;154;Right;1;
C00000148;PROD000034;42;0;1;201;Left;1;
C00000149;PROD000029;57;0;1;210;Right;1;
C00000150;;;4;1;63;Right;1;
C00000151;PROD000033;28;0;1;38;Left;1;
C00000152;PROD000002;7;2;1;23;Right;1;
C00000153;PROD000044;36;4;1;63;Left;0;
C00000154;PROD000020;19;3;1;47;Left;1;
C00000155;PROD000002;38;0;1;62;Right;1;
C00000156;PROD000026;31;0;1;134;Left;1;
C00000157;PROD000031;54;1;1;299;Left;1;
C00000158;;;0;1;25;Left;1;
C00000159;PROD000019;22;3;1;75;Left;1;
